gender   major   cond   phobia   prevmath  mathquiz    statquiz	hr_base	hr_pre	hr_post	anx_base	anx_pre	anx_post
  1	   1	  1	  1	  3	43	6	71.0	68.0	65.0	17.0	22.0	20.0
  1	   1	  1	  1	  4	49	9	73.0	75.0	68.0	17.0	19.0	16.0
  1	   1	  1	  4	  1	26	8	69.0	76.0	72.0	19.0	14.0	15.0
  1	   1	  1	  4	  0	29	7	72.0	73.0	78.0	19.0	13.0	16.0
  1	   1	  1	 10	  1	31	6	71.0	83.0	74.0	26.0	30.0	25.0
  1	   1	  2	  4	  1	20	7	70.0	71.0	76.0	12.0	15.0	19.0
  1	   1	  2	  4	  2	13	3	71.0	70.0	66.0	12.0	16.0	17.0
  1	   1	  2	  4	  1	23	7	77.0	87.0	84.0	17.0	19.0	22.0
  1	   1	  2	  4	  1	38	8	73.0	72.0	67.0	20.0	14.0	17.0
  1	   1	  2	  5	  0	NA	7	78.0	76.0	74.0	20.0	24.0	19.0
  1	   1	  4	  3	  1	21	8	72.0	74.0	68.0	21.0	27.0	22.0
  1	   1	  2	  5	  1	29	8	74.0	72.0	73.0	21.0	25.0	22.0
  1	   1	  2	  4	  0	32	8	73.0	74.0	74.0	32.0	35.0	33.0
  1	   1	  3	  4	  1	NA	5	72.0	83.0	77.0	18.0	27.0	28.0
  1	   1	  4	  8	  0	NA	3	76.0	76.0	79.0	14.0	18.0	21.0
  1	   1	  4	  4	  1	37	8	68.0	67.0	74.0	15.0	19.0	18.0
  1	   1	  2	  7	  0	18	1	73.0	76.0	78.0	19.0	23.0	20.0
  1	   1	  4	  0	  3	32	10	74.0	74.0	75.0	20.0	12.0	18.0
  1	   1	  4	  5	  1	37	7	77.0	78.0	73.0	39.0	39.0	40.0
  1	   2	  1	  4	  2	21	7	78.0	79.0	73.0	18.0	13.0	16.0
  1	   2	  1	  3	  2	NA	7	70.0	63.0	66.0	18.0	12.0	14.0
  1	   2	  2	  4	  1	NA	7	74.0	75.0	73.0	15.0	11.0	20.0
  1	   2	  2	  4	  0	25	7	74.0	84.0	77.0	19.0	27.0	23.0
  1	   2	  2	  0	  3	47	8	75.0	75.0	71.0	23.0	28.0	24.0
  1	   2	  3	  1	  3	41	6	76.0	73.0	72.0	18.0	24.0	26.0
  1	   2	  3	  3	  1	22	4	73.0	71.0	79.0	18.0	13.0	19.0
  1	   2	  3	  4	  1	35	8	71.0	74.0	76.0	18.0	22.0	25.0
  1	   2	  4	  1	  4	26	7	71.0	76.0	75.0	14.0	10.0	18.0
  1	   2	  4	  0	  6	39	8	74.0	79.0	79.0	17.0	12.0	16.0
  1	   2	  1	  5	  1	22	4	73.0	78.0	69.0	21.0	14.0	17.0
  1	   3	  1	  2	  0	10	7	74.0	72.0	72.0	15.0	21.0	16.0
  1	   3	  1	  1	  1	20	8	76.0	69.0	71.0	17.0	25.0	19.0
  1	   3	  4	  4	  1	26	8	76.0	74.0	81.0	17.0	26.0	15.0
  1	   3	  1	  9	  1	21	8	75.0	83.0	73.0	18.0	21.0	23.0
  1	   3	  1	  2	  1	30	6	69.0	69.0	64.0	22.0	16.0	18.0
  1 	   3	  2	  8	  1	35	6	71.0	70.0	75.0	20.0	27.0	22.0
  1	   3	  2	  0	  0	40	8	77.0	79.0	74.0	21.0	14.0	19.0
  1	   3	  3	  3	  0	NA	7	78.0	76.0	84.0	24.0	27.0	25.0
  1	   3	  4	  4	  1	44	6	67.0	67.0	73.0	12.0	19.0	17.0
  1	   3	  4	  3	  1	35	8	78.0	73.0	78.0	19.0	12.0	17.0
  1	   3	  4	  4	  1	26	7	77.0	78.0	78.0	21.0	15.0	15.0
  1	   4	  4	  2	  1	42	7	69.0	70.0	64.0	13.0	24.0	22.0
  1	   4	  1	  1	  1	39	7	71.0	63.0	66.0	15.0	21.0	13.0
  1	   4	  1	  0	  1	NA	9	71.0	72.0	67.0	20.0	23.0	21.0
  1	   4	  2	  5	  1	NA	5	75.0	76.0	70.0	16.0	18.0	23.0
  1	   4	  2	  3	  1	15	3	76.0	79.0	71.0	19.0	21.0	17.0
  1	   4	  3	  4	  1	24	7	74.0	76.0	75.0	22.0	27.0	23.0
  1	   4	  3	  4	  1	NA	7	74.0	74.0	69.0	30.0	36.0	32.0
  1	   4	  4	 10	  0	26	5	78.0	80.0	80.0	19.0	24.0	24.0
  1	   4	  4	  2	  1	33	8	72.0	64.0	68.0	20.0	14.0	22.0
  1	   4	  1	  5	  0	38	8	71.0	82.0	79.0	20.0	26.0	26.0
  1	   4	  4	  7	  1	14	5	68.0	78.0	73.0	20.0	29.0	30.0
  1	   4 	  4	  1	  0	29	6	72.0	79.0	76.0	22.0	27.0	24.0
